state_ocha,lga_ocha,adm2_pcode,pfpr
Kwara,Ilorin East,NG024006,24.26123172044754
Kwara,Ilorin South,NG024007,24.331264197826385
Kwara,Ilorin West,NG024008,24.27721619606018
Ogun,Imeko-Afon,NG028013,39.37745988368988
Katsina,Ingawa,NG021015,29.550701379776
Akwa Ibom,Ini,NG003015,31.488904356956482
Ogun,Ipokia,NG028014,22.748109698295593
Ondo,Irele,NG029012,34.610456228256226
Oyo,Irepo,NG031015,33.169424533843994
Kwara,Irepodun,NG024009,29.312777519226074
Osun,Irepodun,NG030020,18.516162037849426
Ekiti,Irepodun/Ifelodun,NG013013,34.70742404460907
Osun,Irewole,NG030021,32.293593883514404
Sokoto,Isa,NG034009,26.051577925682068
Ekiti,Ise/Orun,NG013014,39.15010094642639
Oyo,Iseyin,NG031016,36.18228733539581
Ebonyi,Ishielu,NG011008,28.027495741844177
Enugu,Isi-Uzo,NG014010,32.55218863487244
Abia,Isiala-Ngwa North,NG001006,41.13130867481232
Abia,Isiala-Ngwa South,NG001007,40.764886140823364
Imo,Isiala Mbano,NG017009,38.19701075553894
Kwara,Isin,NG024010,27.416998147964478
Abia,Isiukwuato,NG001008,27.88081169128418
Osun,Isokan,NG030022,41.38278663158417
Delta,Isoko North,NG010009,12.669482827186584
Delta,Isoko South,NG010010,13.135194778442383
Imo,Isu,NG017010,31.52317702770233
Bauchi,Itas/Gadau,NG005010,27.26883888244629
Oyo,Itesiwaju,NG031017,36.576077342033386
Akwa Ibom,Itu,NG003016,30.739611387252808
Ebonyi,Ivo,NG011009,26.64145827293396
Oyo,Iwajowa,NG031018,36.86094582080841
Osun,Iwo,NG030023,24.994629621505737
Ebonyi,Izzi,NG011010,32.23677575588226
Kaduna,Jaba,NG019006,24.390892684459686
Adamawa,Jada,NG002008,37.69644796848297
Jigawa,Jahun,NG018014,30.192866921424866
Yobe,Jakusko,NG036009,31.512314081192017
Taraba,Jalingo,NG035007,32.428762316703796
Bauchi,Jama'are,NG005011,28.641626238822937
Kebbi,Jega,NG022011,37.02690601348877
Kaduna,Jema'a,NG019007,24.377699196338654
Borno,Jere,NG008013,22.394947707653046
Katsina,Jibia,NG021016,28.63008677959442
Plateau,Jos East,NG032004,21.655139327049255
Plateau,Jos North,NG032005,14.96424674987793
Plateau,Jos South,NG032006,12.770579755306244
Kogi,Kabba/Bunu,NG023010,26.87590718269348
Kano,Kabo,NG020020,34.85613763332367
Kaduna,Kachia,NG019008,38.84630799293518
Kaduna,Kaduna North,NG019009,19.782249629497528
Kaduna,Kaduna South,NG019010,18.876267969608307
Jigawa,Kafin Hausa,NG018015,32.33849108219147
Katsina,Kafur,NG021017,22.0571368932724
Borno,Kaga,NG008014,37.8713458776474
Kaduna,Kagarko,NG019011,34.85661745071411
Kwara,Kaiama,NG024011,32.730743288993835
Katsina,Kaita,NG021018,23.554328083992004
Oyo,Kajola,NG031019,33.74938666820526
Kaduna,Kauru,NG019014,31.263920664787292
Borno,Kala/Balge,NG008015,17.4261212348938
Kebbi,Kalgo,NG022012,26.982492208480835
Gombe,Kaltungo,NG016007,23.755134642124176
Plateau,Kanam,NG032007,28.0047208070755
Katsina,Kankara,NG021019,29.30927276611328
Plateau,Kanke,NG032008,22.643987834453583
Katsina,Kankia,NG021020,27.61630117893219
Kano,Kano Municipal,NG020021,18.34602802991867
Yobe,Karasuwa,NG036010,29.135555028915405
Kano,Karaye,NG020022,21.832816302776337
Taraba,Karim-Lamido,NG035008,32.71631896495819
Nasarawa,Karu,NG026004,29.779374599456787
Bauchi,Katagum,NG005012,30.55996000766754
Niger,Katcha,NG027010,31.027328968048096
Katsina,Katsina,NG021021,25.728839635849
Benue,Katsina-Ala,NG007009,27.576223015785217
Jigawa,Kaugama,NG018016,28.7665456533432
Kaduna,Kaura,NG019013,23.66103082895279
Zamfara,Kaura Namoda,NG037008,41.791823506355286
Kaduna,Kajuru,NG019012,34.23353731632233
Jigawa,Kazaure,NG018017,21.183612942695618
Nasarawa,Keana,NG026005,32.57071673870087
Sokoto,Kebbe,NG034010,36.749473214149475
Nasarawa,Keffi,NG026006,23.654091358184814
Rivers,Khana,NG033014,35.71361005306244
Kano,Kibiya,NG020023,24.814388155937195
Bauchi,Kirfi,NG005013,33.30640494823456
Jigawa,Kiri Kasamma,NG018018,25.36788582801819
Kano,Kiru,NG020024,27.23345160484314
Jigawa,Kiyawa,NG018019,29.21884059906006
Kogi,Kogi,NG023011,21.710875630378723
Kebbi,Koko/Besse,NG022013,37.89615035057068
Nasarawa,Kokona,NG026007,31.181135773658752
Bayelsa,Kolokuma/Opokuma,NG006003,20.25945782661438
Borno,Konduga,NG008016,26.00959539413452
Benue,Konshisha,NG007010,33.91762673854828
Niger,Kontagora,NG027011,34.88006889820099
Lagos,Kosofe,NG025013,11.28070056438446
Kaduna,Kubau,NG019015,26.981839537620544
Kaduna,Kudan,NG019016,20.97938060760498
Federal Capital Territory,Kuje,NG015005,27.10670828819275
Borno,Kukawa,NG008017,17.505694925785065
Kano,Kumbotso,NG020025,21.58782035112381
Kano,Kunchi,NG020026,19.182313978672028
Kano,Kura,NG020027,25.66027343273163
Katsina,Kurfi,NG021022,28.778663277626038
Taraba,Kurmi,NG035009,39.85682129859924
Katsina,Kusada,NG021023,28.3404678106308
Federal Capital Territory,Kwali,NG015006,26.039141416549683
Gombe,Kwami,NG016008,25.239598751068115
Benue,Kwande,NG007011,34.46556329727173
Sokoto,Kware,NG034011,20.00449448823929
Borno,Kwaya Kusar,NG008018,30.60031831264496
Nasarawa,Lafia,NG026008,27.86175310611725
Oyo,Lagelu,NG031020,30.889248847961426
Lagos,Lagos Island,NG025014,10.545754432678223
Lagos,Lagos Mainland,NG025015,9.739318490028381
Adamawa,Lamurde,NG002009,24.052608013153076
Plateau,Langtang North,NG032009,25.457176566123962
Plateau,Langtang South,NG032010,28.02393138408661
Niger,Lapai,NG027012,24.915097653865814
Taraba,Lau,NG035010,34.09629762172699
Niger,Lavun,NG027013,34.93211269378662
Kaduna,Lere,NG019017,29.666560888290405
Benue,Logo,NG007012,26.40838325023651
Kogi,Lokoja,NG023012,24.631528556346893
Yobe,Machina,NG036011,28.37817072868347
Adamawa,Madagali,NG002010,17.68508553504944
Kano,Madobi,NG020028,32.11912512779236
Borno,Mafa,NG008019,24.524030089378357
Niger,Magama,NG027014,31.1001718044281
Borno,Magumeri,NG008020,24.53085035085678
Katsina,Mai'adua,NG021024,27.884936332702637
Borno,Maiduguri,NG008021,16.85464382171631
Jigawa,Maigatari,NG018020,26.62174105644226
Adamawa,Maiha,NG002011,24.896004796028137
Kebbi,Maiyama,NG022014,38.759881258010864
Kano,Makoda,NG020029,24.528570473194122
Benue,Makurdi,NG007013,15.362882614135742
Jigawa,Malam Madori,NG018021,29.292619228363037
Katsina,Malumfashi,NG021025,24.695713818073273
Plateau,Mangu,NG032011,14.618071913719177
Katsina,Mani,NG021026,27.696621417999268
Zamfara,Maradun,NG037009,32.27497935295105
Niger,Mariga,NG027015,35.162508487701416
Kaduna,Markafi,NG019018,23.56390506029129
Borno,Marte,NG008022,16.993819177150726
Zamfara,Maru,NG037010,35.33552587032318
Niger,Mashegu,NG027016,41.81244373321533
Katsina,Mashi,NG021027,28.809809684753418
Katsina,Matazu,NG021028,29.74405288696289
Adamawa,Mayo-Belwa,NG002012,39.32614326477051
Imo,Mbaitoli,NG017011,35.71290969848633
Akwa Ibom,Mbo,NG003017,28.032788634300232
Adamawa,Michika,NG002013,18.16735714673996
Jigawa,Miga,NG018022,22.09334373474121
Plateau,Mikang,NG032012,28.4219890832901
Kano,Minjibir,NG020030,29.69658672809601
Bauchi,Misau,NG005014,27.382534742355347
Akwa Ibom,Mkpat Enin,NG003018,36.83713674545288
Ekiti,Moba,NG013015,29.241371154785156
Borno,Mobbar,NG008023,23.530252277851105
Niger,Mokwa,NG027017,28.909382224082947
Borno,Monguno,NG008024,20.42512148618698
Kogi,Mopa-Muro,NG023013,24.40441995859146
Kwara,Moro,NG024012,31.50145411491394
Adamawa,Mubi North,NG002014,18.92600655555725
Adamawa,Mubi South,NG002015,25.69867968559265
Katsina,Musawa,NG021029,26.0857492685318
Lagos,Mushin,NG025016,10.100547969341278
Niger,Muya,NG027018,36.893126368522644
Gombe,Nafada,NG016009,27.959731221199036
Yobe,Nangere,NG036012,30.829879641532898
Kano,Nasarawa,NG020031,17.796410620212555
Nasarawa,Nasarawa,NG026009,32.91720449924469
Nasarawa,Nasarawa-Eggon,NG026010,27.491146326065063
Delta,Ndokwa East,NG010011,16.740451753139496
Delta,Ndokwa West,NG010012,15.784943103790283
Bayelsa,Nembe,NG006004,30.484578013420105
Borno,Ngala,NG008025,15.677374601364136
Borno,Nganzai,NG008026,24.647170305252075
Kebbi,Ngaski,NG022015,20.74112445116043
Imo,Ngor-Okpala,NG017012,28.299948573112488
Yobe,Nguru,NG036013,32.68169164657593
Bauchi,Ningi,NG005015,31.16728365421295
Imo,Njaba,NG017013,30.516117811203003
Anambra,Njikoka,NG004013,20.374463498592377
Enugu,Nkanu East,NG014011,25.73001980781555
Enugu,Nkanu West,NG014012,22.468802332878113
Imo,Nkwerre,NG017014,30.155882239341736
Anambra,Nnewi North,NG004014,16.94580316543579
Anambra,Nnewi South,NG004015,24.98803734779358
Akwa Ibom,Nsit Atai,NG003019,
Akwa Ibom,Nsit Ibom,NG003020,
Akwa Ibom,Nsit Ubium,NG003021,34.06668305397034
Enugu,Nsukka,NG014013,19.375795125961304
Adamawa,Numan,NG002016,31.10014498233795
Imo,Nwangele,NG017015,32.44200050830841
Ogun,Obafemi-Owode,NG028015,34.41980183124542
Cross River,Obanliku,NG009013,31.754973530769348
Benue,Obi,NG007014,37.37350106239319
Nasarawa,Obi,NG026011,27.989211678504944
Abia,Obi Ngwa,NG001009,36.95739507675171
Rivers,Obia/Akpor,NG033015,21.41076773405075
Osun,Obokun,NG030024,31.537216901779175
Akwa Ibom,Obot Akara,NG003022,38.051220774650574
Imo,Obowo,NG017016,36.71068847179413
Cross River,Obubra,NG009014,30.259260535240173
Cross River,Obudu,NG009015,30.974474549293518
Ogun,Odeda,NG028016,38.921818137168884
Ondo,Odigbo,NG029013,24.290667474269867
Osun,Odo-Otin,NG030025,21.53657078742981
Ogun,Odogbolu,NG028017,27.497166395187378
Cross River,Odukpani,NG009016,31.00220263004303
Kwara,Offa,NG024013,24.73103255033493
Kogi,Ofu,NG023014,27.099737524986267
Rivers,Ogba/Egbema/Ndoni,NG033016,22.89106398820877
Benue,Ogbadibo,NG007015,27.740812301635742
Anambra,Ogbaru,NG004016,25.475063920021057
Bayelsa,Ogbia,NG006005,27.296045422554016
Oyo,Ogbomosho North,NG031021,18.94771158695221
Oyo,Ogbomosho South,NG031022,31.45778775215149
Oyo,Ogo Oluwa,NG031023,29.390132427215576
Cross River,Ogoja,NG009017,32.45114982128143
Kogi,Ogori/Magongo,NG023015,28.77749800682068
Rivers,Ogu/Bolo,NG033017,38.24499547481537
Ogun,Ogun waterside,NG028018,31.481173634529114
