state_ocha,lga_ocha,adm2_pcode,area_sqkm,center_lat,center_lon,elevation
Kaduna,Kauru,NG019014,3009.02520958,10.2201434,8.31847666,860.0
Borno,Kala/Balge,NG008015,1877.90511553,12.05785224,14.48633529,294.0
Kebbi,Kalgo,NG022012,607.22006849,12.38613198,4.05768703,259.0
Gombe,Kaltungo,NG016007,1153.14285229,9.8409123,11.43224424,533.0
Plateau,Kanam,NG032007,2745.85832166,9.49113794,10.15453027,461.0
Katsina,Kankara,NG021019,1395.01332237,12.01976496,7.34718314,567.0
Plateau,Kanke,NG032008,940.37018064,9.36319205,9.65548919,572.0
Katsina,Kankia,NG021020,754.50016316,12.4376405,7.79188517,550.0
Kano,Kano Municipal,NG020021,17.18012541,11.97961138,8.51569516,478.0
Yobe,Karasuwa,NG036010,1332.05229765,12.99797807,10.69159384,343.0
Kano,Karaye,NG020022,449.86902265,11.7495648,7.98611595,533.0
Taraba,Karim-Lamido,NG035008,6612.28290026,9.14731325,10.85802088,181.0
Nasarawa,Karu,NG026004,2885.23345608,9.03685377,7.76143033,365.0
Bauchi,Katagum,NG005012,1326.8171197,11.66018165,10.34508862,401.0
Niger,Katcha,NG027010,1650.65887528,9.11880635,6.24362312,129.0
Katsina,Katsina,NG021021,148.00865837,13.00891956,7.6130591,498.0
Benue,Katsina-Ala,NG007009,2691.14307551,7.35891011,9.58963181,134.0
Jigawa,Kaugama,NG018016,817.31756417,12.5593585,9.7673542,361.0
Kaduna,Kaura,NG019013,518.95588008,9.6202334,8.44358199,851.0
Zamfara,Kaura Namoda,NG037008,866.04329282,12.48223466,6.56733283,440.0
Kaduna,Kajuru,NG019012,2512.22053724,10.26253047,7.86185078,736.0
Jigawa,Kazaure,NG018017,382.13903733,12.66061345,8.45063631,452.0
Nasarawa,Keana,NG026005,1165.44419529,8.204791,8.7174229,141.0
Sokoto,Kebbe,NG034010,2625.41820592,11.91410549,4.75350681,328.0
Nasarawa,Keffi,NG026006,112.79010572,8.85687268,7.8680312,347.0
Rivers,Khana,NG033014,558.89314966,4.67248711,7.43228934,14.0
Kano,Kibiya,NG020023,436.53751012,11.4925604,8.68283276,528.0
Bauchi,Kirfi,NG005013,2268.79549139,10.4416762,10.52453495,430.0
Jigawa,Kiri Kasamma,NG018018,829.83639968,12.59975915,10.25751656,355.0
Kano,Kiru,NG020024,904.45429497,11.5526599,8.11424829,571.0
Jigawa,Kiyawa,NG018019,1031.47837393,11.81169495,9.52472043,402.0
Kogi,Kogi,NG023011,1494.05596025,8.12703178,6.8556095,107.0
Kebbi,Koko/Besse,NG022013,1343.31819505,11.44467134,4.47653783,234.0
Nasarawa,Kokona,NG026007,2555.421496,8.75626526,8.0868521,345.0
Bayelsa,Kolokuma/Opokuma,NG006003,350.51739554,5.06841226,6.24084552,26.0
Borno,Konduga,NG008016,5958.93280391,11.68675991,13.18348175,338.0
Benue,Konshisha,NG007010,1684.72104052,7.10901615,8.62141347,96.0
Niger,Kontagora,NG027011,1772.31005885,10.43627107,5.51427123,337.0
Lagos,Kosofe,NG025013,81.56483229,6.58413016,3.41736638,5.0
Kaduna,Kubau,NG019015,2362.00359575,10.85699371,8.37393809,707.0
Kaduna,Kudan,NG019016,334.13549829,11.26792888,7.71922309,656.0
Federal Capital Territory,Kuje,NG015005,1532.44120681,8.6963208,7.27827006,338.0
Borno,Kukawa,NG008017,4914.65899475,13.04582499,13.71780366,289.0
Kano,Kumbotso,NG020025,191.64580243,11.92089994,8.51958793,464.0
Kano,Kunchi,NG020026,520.82513529,12.46780008,8.26729586,484.0
Kano,Kura,NG020027,196.01576777,11.77501489,8.47804499,444.0
Katsina,Kurfi,NG021022,576.5804503,12.68703519,7.48651879,514.0
Taraba,Kurmi,NG035009,4349.99105126,7.26632324,10.70152529,314.0
Katsina,Kusada,NG021023,455.75451201,12.45745539,7.97368288,539.0
Federal Capital Territory,Kwali,NG015006,1252.52707595,8.71738863,6.96267934,195.0
Gombe,Kwami,NG016008,1718.48273416,10.49466408,11.18437081,564.0
Benue,Kwande,NG007011,2351.52979613,6.77759572,9.41318453,193.0
Sokoto,Kware,NG034011,595.84474864,13.15623698,5.28807862,254.0
Borno,Kwaya Kusar,NG008018,747.32071413,10.43090965,11.90649934,362.0
Nasarawa,Lafia,NG026008,2657.52461876,8.7164345,8.80040707,150.0
Oyo,Lagelu,NG031020,272.79553236,7.51317497,4.07412051,202.0
Lagos,Lagos Island,NG025014,8.59765152,6.45040242,3.39382226,8.0
Lagos,Lagos Mainland,NG025015,23.50310191,6.49500381,3.38571719,1.0
Adamawa,Lamurde,NG002009,1105.84684892,9.55365323,11.70146581,149.0
